round,desired_increase,normalized_median_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost
1.5,1.0,118.1830367606525,9.262598036066835,54.578628894029606,118.18303676065347,118.1830367606525
1.5,12.0,559.8944278448195,100.23454303315224,100.23454303315226,559.894427844819,1278.9092906599199
1.5,23.0,977.159922851121,174.93508323401105,174.935083234011,977.1599228511209,2232.025970691024
1.5,34.0,1325.9191425578801,237.3713556406989,237.37135564069885,1325.9191425578804,3028.6608077319474
1.5,45.0,1621.7631703091324,290.33453844085483,290.33453844085483,1621.7631703091317,3704.426910877008
1.5,56.0,1875.8856044031559,335.8285544358606,335.82855443586067,1875.8856044031556,4284.892666142635
1.5,67.0,2096.5308316105406,375.32934676685363,375.3293467668536,2096.530831610541,4788.88987879842
1.5,78.0,2289.9053003990366,409.94801869738683,409.94801869738683,2289.9053003990366,5230.595301125961
1.5,89.0,2460.7705717624162,440.53700394817537,440.5370039481754,2460.770571762416,5620.8852774682855
1.5,100.0,2612.8406632758233,467.76120082137726,467.76120082137726,2612.8406632758238,5968.243356412956
