round,desired_increase,majoritarian_moving_phantoms_min_removal_cost,majoritarian_moving_phantoms_min_addition_cost,r1_quadratic_min_removal_cost,r1_quadratic_min_addition_cost,r2_mean_min_removal_cost,r2_mean_min_addition_cost,r3_median_min_removal_cost,r3_median_min_addition_cost,r4_capped_median_min_removal_cost,r4_capped_median_min_addition_cost
5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.5,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.5,6.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.5,7.0,1.0,1.0,1.4,1.0,1.1,1.0,1.0,1.0,1.0,1.0
5.5,8.0,1.0,1.0,1.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.5,9.0,1.0,1.0,2.0,1.0,1.5,1.0,1.2,1.2,1.2,1.0
5.5,10.0,1.1,1.0,2.1,1.0,1.8,1.0,1.1,1.1,1.1,1.1
5.5,11.0,1.2,1.0,2.4,1.0,2.0,1.0,1.0,1.0,1.0,1.0
5.5,12.0,1.0,1.0,2.2,1.0,2.0,1.0,1.2,1.2,1.2,1.1
5.5,13.0,1.1,1.0,2.6,1.0,2.0,1.0,1.2,1.2,1.3,1.1
5.5,14.0,1.0,1.0,2.5,1.0,2.0,1.0,1.1,1.1,1.1,1.0
5.5,15.0,1.2,1.0,2.9,1.0,2.0,1.0,1.4,1.4,1.4,1.2
5.5,16.0,1.0,1.0,3.0,1.0,2.0,1.0,1.1,1.2,1.1,1.0
5.5,17.0,1.2,1.0,3.1,1.0,2.0,1.0,1.3,1.3,1.3,1.0
5.5,18.0,1.2,1.0,3.3,1.0,2.1,1.0,1.4,1.4,1.4,1.3
5.5,19.0,1.1,1.0,3.2,1.0,2.1,1.0,1.5,1.6,1.5,1.2
5.5,20.0,1.6,1.1,3.6,1.0,2.5,1.0,1.6,1.7,1.6,1.5
5.5,21.0,1.7,1.1,3.7,1.0,2.7,1.0,1.6,1.6,1.8,1.5
5.5,22.0,1.9,1.1,4.2,1.0,2.9,1.0,1.8,1.7,1.7,1.6
5.5,23.0,1.6,1.1,4.3,1.0,3.0,1.0,1.7,1.8,1.8,1.3
5.5,24.0,1.8,1.1,4.3,1.0,3.0,1.0,1.9,1.9,1.9,1.8
5.5,25.0,1.4,1.1,4.2,1.0,3.0,1.0,1.6,1.5,1.7,1.3
5.5,26.0,1.9,1.2,4.1,1.0,3.0,1.0,2.0,2.1,2.1,1.8
5.5,27.0,1.8,1.3,4.8,1.0,3.0,1.0,2.3,2.3,2.4,1.8
5.5,28.0,2.1,1.4,4.8,1.0,3.3,1.0,1.9,1.9,1.9,1.7
5.5,29.0,1.7,1.0,4.8,1.0,3.2,1.0,2.0,2.0,2.1,2.0
5.5,30.0,2.2,1.3,4.9,1.0,3.2,1.0,2.1,2.1,2.0,1.7
