round,voting_rule,max_vev,project_max_vev,project_max_original_allocation,project_max_new_allocation,project_max_allocation_percentage
1,majoritarian_moving_phantoms,8483777.744665453,0.1281263634492691,8940553.951008502,12784344.854486575,0.4261448284828858
1,r1_quadratic,5987253.9953449555,0.09978756658908262,4567383.533162087,7561010.530834566,0.2520336843611522
1,r2_mean,11604688.062800217,0.19341146771333695,3540140.4879928026,9342484.519392911,0.31141615064643036
1,r3_median,10631729.306320455,0.1651634449517656,9027467.484035732,13982370.8325887,0.4660790277529567
1,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
2,majoritarian_moving_phantoms,8130417.0439272905,0.13471470160350643,8428692.79893054,12470133.847035734,0.41567112823452446
2,r1_quadratic,5992397.1424860135,0.09987328570810024,4146764.795121158,7142963.366364165,0.2380987788788055
2,r2_mean,11639313.729772205,0.19398856216286997,2877237.4474181994,8696894.3123043,0.28989647707681
2,r3_median,10386614.126065735,0.17311023543442888,3869042.5670212107,9062349.630054077,0.3020783210018026
2,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
3,majoritarian_moving_phantoms,4703989.963730317,0.07839983169363296,3183750.487768558,5535745.438577547,0.1845248479525849
3,r1_quadratic,5728292.18744252,0.09547153645737537,5610455.512258448,8474601.605979709,0.28248672019932364
3,r2_mean,11335888.594946757,0.18893147658244594,2907679.522022831,8575623.819496209,0.2858541273165403
3,r3_median,8949407.02071669,0.12926736802686292,9933195.751628455,13811216.792434342,0.46037389308114474
3,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
4,majoritarian_moving_phantoms,5256460.924214101,0.08760768160172965,5513775.86070949,8142006.30876138,0.271400210292046
4,r1_quadratic,6078239.958136364,0.10130399930227274,5337745.830109023,8376865.809177205,0.2792288603059068
4,r2_mean,11619014.478798762,0.19365024131331274,5183484.223830146,10992991.463229528,0.3664330487743176
4,r3_median,10972955.34994771,0.1467564000884239,5537614.392958208,9940306.395610925,0.3313435465203642
4,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
