round,voting_rule,max_vev,project_max_vev
1,majoritarian_moving_phantoms,14.880734954517633,0.005702327602603149
1,r1_quadratic,8.582476962758472,0.010857946229650889
1,r2_mean,42.41582620193218,0.07069304366988699
1,r3_median,17.34221389436805,0.004703904613181547
1,r4_capped_median,18.207881490344903,0.004631206226855707
2,majoritarian_moving_phantoms,17.932586070259728,0.008377839940173437
2,r1_quadratic,8.526091863427277,0.010725981843715765
2,r2_mean,42.41434134287573,0.0706905689047929
2,r3_median,16.539237288459066,0.005435770625059498
2,r4_capped_median,16.204764752968885,0.005565833405782093
3,majoritarian_moving_phantoms,16.189536318579542,0.005577009988565524
3,r1_quadratic,8.337233344156619,0.01077991942937912
3,r2_mean,42.419903520691705,0.07069983920115294
3,r3_median,19.2700130755831,0.006115392611777827
3,r4_capped_median,18.66201446173722,0.005088730770897506
4,majoritarian_moving_phantoms,18.768194154817223,0.007286409518793865
4,r1_quadratic,8.82169389207382,0.010793587090161386
4,r2_mean,42.423762082178946,0.07070627013696479
4,r3_median,17.277195086578487,0.0062831077019886135
4,r4_capped_median,19.63769013758013,0.006008414684850513
5,majoritarian_moving_phantoms,17.36056912104331,0.006776853187831462
5,r1_quadratic,8.838877130739242,0.01079219008695215
5,r2_mean,42.40987369556479,0.07068312282594111
5,r3_median,16.587056213906795,0.005456906337201654
5,r4_capped_median,20.107774927556704,0.005530707028357022
6,majoritarian_moving_phantoms,18.68764654327378,0.008350431668834084
6,r1_quadratic,9.098040795774464,0.010829224770280456
6,r2_mean,42.40819881711955,0.07068033136186588
6,r3_median,18.794641911467153,0.006350876863212438
6,r4_capped_median,20.6522535218873,0.005365910273771849
7,majoritarian_moving_phantoms,17.981659839672705,0.006267457043123422
7,r1_quadratic,8.28295919724781,0.010737804609233967
7,r2_mean,42.40954660698259,0.07068257767830412
7,r3_median,16.60732416739166,0.006749488146151564
7,r4_capped_median,14.775256175923104,0.004866785414125852
8,majoritarian_moving_phantoms,19.927988672437312,0.007069972850091586
8,r1_quadratic,8.713584377099693,0.010935763153641859
8,r2_mean,42.413827408180815,0.0706897123469681
8,r3_median,15.819282380310355,0.004621983521107379
8,r4_capped_median,18.382260750639364,0.005136293616646336
9,majoritarian_moving_phantoms,15.931882225848526,0.014082252369675606
9,r1_quadratic,9.013518286788333,0.010872835241389508
9,r2_mean,42.41957240525424,0.0706992873420906
9,r3_median,18.353543542099764,0.006836223912384183
9,r4_capped_median,20.63015981097877,0.006876121157419505
10,majoritarian_moving_phantoms,14.131412970422277,0.009596437851456278
10,r1_quadratic,8.286830274319094,0.010605938216024733
10,r2_mean,42.397198102345335,0.07066199683724224
10,r3_median,17.876732785920815,0.006164714125659274
10,r4_capped_median,15.990080299959745,0.007132503385664797
