normalized_median,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
104779.84710368526,121011.60573360209,112450.79804122448,104779.84710368529,104779.84710368526,Project 1
49113.495934197,75614.87863327102,49630.078445683495,49113.49593419702,49113.495934197,Project 2
79408.06043286157,109567.95377590047,90626.55226454407,79408.06043286159,79408.06043286157,Project 3
214717.52533220875,164272.11006639287,194124.26020544686,214717.5253322088,214717.52533220875,Project 4
159205.1123373354,143066.86225802294,152064.45319356633,159205.11233733542,159205.1123373354,Project 5
52439.0445982054,82903.36019863,58768.50748664875,52439.04459820541,52439.0445982054,Project 6
69524.41568164893,99518.72400834979,78577.96941682546,69524.41568164894,69524.41568164893,Project 7
101847.03891862727,112039.32790273035,96447.7457873638,101847.0389186273,101847.03891862727,Project 8
178755.65750098825,154942.8951122661,173916.2107035847,178755.6575009883,178755.65750098825,Project 9
182294.6317859865,156438.79783021918,175056.7447391321,182294.63178598657,182294.6317859865,Project 10
109552.68874609837,125957.62408215924,120436.89189470168,109552.6887460984,109552.68874609837,Project 11
96581.62381752382,122651.31413372353,116768.73692035757,96581.62381752385,96581.62381752382,Project 12
320140.31008870306,203640.91992673188,292839.79638937075,320140.3100887032,320140.31008870306,Project 13
159637.52556203183,151709.4516911126,171523.26793713158,159637.52556203186,159637.52556203183,Project 14
152475.71100864335,143216.6548167478,147872.01723550135,152475.71100864338,152475.71100864335,Project 15
104158.865922561,118861.78562237996,107839.40462483083,104158.86592256103,104158.865922561,Project 16
92146.63769488317,108737.2666430961,88657.85581567856,92146.63769488319,92146.63769488317,Project 17
92613.85721052083,113213.95905788297,96491.21456281615,92613.85721052086,92613.85721052083,Project 18
358429.7479695739,217428.79727830956,335895.8216737878,358429.74796957395,358429.7479695739,Project 19
153655.7884364675,141019.9281898906,144338.75106242942,153655.78843646753,153655.7884364675,Project 20
104044.27973100099,114867.95618404762,97774.38012053116,104044.279731001,104044.27973100099,Project 21
180984.58294552317,155122.42461495023,171466.6459008605,180984.5829455232,180984.58294552317,Project 22
134593.72442407763,137478.88620274916,137543.20364658613,134593.72442407766,134593.72442407763,Project 23
174679.3978257916,152610.27173688542,166163.52488928582,174679.39782579162,174679.3978257916,Project 24
58768.355249869725,97204.16799381786,81369.6926742471,58768.35524986974,58768.355249869725,Project 25
45629.43281295872,85026.5990447056,60369.00773291281,45629.43281295874,45629.43281295872,Project 26
104648.50045680885,120122.65316667921,108156.94625612641,104648.50045680888,104648.50045680885,Project 27
222381.66880884263,173513.0183776545,213226.1527872945,222381.6688088427,222381.66880884263,Project 28
310267.71527539444,202720.92614570196,291221.1152839589,310267.7152753945,310267.71527539444,Project 29
87586.73602196782,103012.87871597377,78122.9203996285,87586.73602196785,87586.73602196782,Project 30
138780.11038907972,135940.1514970293,134677.48996941937,138780.11038907975,138780.11038907972,Project 31
137672.8184031329,134271.8632585783,131541.83639526903,137672.81840313293,137672.8184031329,Project 32
126016.01037800882,128470.63904405315,123738.19576589078,126016.01037800885,126016.01037800882,Project 33
198550.23800986225,158129.21572398872,177616.07650214405,198550.23800986228,198550.23800986225,Project 34
64211.287093899045,93717.61315440462,67385.5066403596,64211.28709389906,64211.287093899045,Project 35
169496.6286134082,154607.39368491157,175948.86378983632,169496.62861340825,169496.6286134082,Project 36
62580.18294680351,93292.31072626727,67570.99655554011,62580.18294680352,62580.18294680351,Project 37
101140.54074985912,117592.32667386929,101105.79436537312,101140.54074985914,101140.54074985912,Project 38
137609.12594186235,134837.96481818936,133648.45059224454,137609.1259418624,137609.12594186235,Project 39
107979.80741462592,118422.85475735259,109646.8922913894,107979.80741462595,107979.80741462592,Project 40
62613.770901581236,95298.7287314477,72725.83287618481,62613.77090158125,62613.770901581236,Project 41
54022.1443236295,90109.8650383353,64045.894066048495,54022.14432362951,54022.1443236295,Project 42
20624.425477866513,63505.27919665304,36927.11976596321,20624.425477866516,20624.425477866513,Project 43
64921.38551788265,100025.33084952108,83223.21769541159,64921.38551788266,64921.38551788265,Project 44
159515.1315536443,147084.2995040776,154699.18485159604,159515.13155364434,159515.1315536443,Project 45
188423.18029504188,157801.61928614334,177991.6661424493,188423.1802950419,188423.18029504188,Project 46
84208.77576320442,99440.50472546168,74983.50294038138,84208.77576320444,84208.77576320442,Project 47
231960.69814174285,174319.35894831637,215914.53887492546,231960.69814174288,231960.69814174285,Project 48
172385.4791063131,149933.0941146426,160717.3903888365,172385.47910631314,172385.4791063131,Project 49
247458.6088668824,177308.2394706734,224322.53937218606,247458.60886688245,247458.6088668824,Project 50
71542.6282421206,97264.50414646341,75953.77266447782,71542.62824212061,71542.6282421206,Project 51
66751.74957224666,100004.29106696974,82052.20474818308,66751.74957224667,66751.74957224666,Project 52
195610.5832948141,154678.19087559165,169440.59115719312,195610.58329481413,195610.5832948141,Project 53
90741.21479767899,116334.72758010708,104619.74828114794,90741.214797679,90741.21479767899,Project 54
55376.029532701505,89689.42600623387,65928.81232464407,55376.02953270151,55376.029532701505,Project 55
81957.80324806045,110891.81968693626,96789.90445261034,81957.80324806046,81957.80324806045,Project 56
126114.86410079709,134908.8361384369,134653.4068402468,126114.86410079712,126114.86410079709,Project 57
62689.22026144586,94335.42973195619,71595.1350688705,62689.220261445866,62689.22026144586,Project 58
89016.2414759834,114816.80735931301,99342.72853180922,89016.24147598342,89016.2414759834,Project 59
103153.91566234623,123275.39387212452,114848.87762426822,103153.91566234626,103153.91566234623,Project 60
113384.71584701538,128519.74379190912,126252.77944059152,113384.71584701541,113384.71584701538,Project 61
61670.07509495946,90843.91716843928,66622.32204667167,61670.07509495947,61670.07509495946,Project 62
96758.6293465118,112834.26022701855,93728.05888577827,96758.62934651182,96758.6293465118,Project 63
