round,normalized_median_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
1,3482684.226656054,3938300.2552805003,3445603.9811553056,3482684.2266560555,3474514.83997516
2,3651561.7296125563,4269411.35872709,3606237.2876393357,3651561.7296125563,3624329.3993128957
3,3595983.4118009983,3981070.5000155196,3544366.247375915,3595983.4118009973,3595983.4118009983
4,3328120.3507287754,3658197.1885366268,3269655.3111606822,3328120.3507287744,3328120.3507287754
5,3444318.174166538,3947625.971086699,3377636.4726191387,3444318.174166537,3445847.8611894622
6,3342435.045522323,3865289.418098259,3325174.1823240626,3342435.0455223224,3342435.045522323
7,3380603.7387188533,4150203.0566316205,3428556.595255013,3380603.7387188533,3433925.336576243
8,3464853.3918199055,3754058.6512758434,3450768.3837052053,3464853.3918199055,3464853.3918199055
9,3440952.825034818,3959929.8430700623,3398726.690861715,3440952.8250348177,3440952.825034818
10,3376819.031139397,3843214.6769484854,3348562.9274516534,3376819.031139396,3390650.000703131
11,3439552.0040445495,4099070.098308339,3388064.3766236133,3439552.0040445495,3617991.330084524
12,3401427.4192860336,3787890.016033274,3318444.5009665084,3401427.4192860327,3401427.4192860336
13,3596737.1678462783,3790760.805796715,3498977.063339453,3596737.1678462783,3519782.900737946
14,3597568.491364453,4073424.3356593694,3589478.9024843266,3597568.491364453,3641508.1762356968
15,3326523.17206379,3828264.852399767,3296887.439847783,3326523.1720637903,3326523.17206379
16,3602825.147212092,4036784.837511507,3557768.479350595,3602825.147212092,3602825.147212092
17,3590060.5081324796,3964035.841012986,3640096.0881818384,3590060.5081324796,3590060.5081324796
18,3473423.877635517,4411832.058224006,3365921.882267296,3473423.877635519,3427805.4207559815
19,3508050.2839327455,3730015.083941693,3478836.2960355366,3508050.283932745,3508050.2839327455
20,3307868.391997742,3819601.434631361,3230052.7704259795,3307868.391997743,3272637.817900355
21,3571465.993208764,4299665.665585098,3540987.8589342195,3571465.993208765,3577475.2115931874
22,3407261.498531469,3871971.730597327,3355105.674375304,3407261.4985314687,3397334.3840314536
23,3504819.7458258383,3741260.87957663,3465644.1804453055,3504819.7458258374,3504819.7458258383
24,3547894.090348227,3957931.3273536717,3483079.7210314986,3547894.090348227,3506118.727015624
25,3654247.357216038,4432339.281013863,3589591.711825261,3654247.357216038,3602646.8022657237
26,3294633.995878659,3812787.5519517995,3173865.181020391,3294633.9958786587,3397679.388045144
27,3653226.9290948305,4037494.5282429964,3464053.6495446973,3653226.9290948305,3600445.8453069557
28,3302453.369084277,3667338.4173521074,3273652.4442274575,3302453.369084277,3302453.369084277
29,3372586.7012929213,3996384.4570649234,3378241.990157739,3372586.701292922,3372586.7012929213
30,3411229.304738196,3967671.124629528,3383923.6238402682,3411229.304738196,3411229.304738196
31,3489726.621762711,3922146.49963879,3477047.580803942,3489726.621762712,3405800.61411235
32,3525459.031233336,3829519.9670200683,3468868.794725332,3525459.0312333363,3525459.031233336
33,3382818.353145564,3805208.6778001967,3301683.379802886,3382818.353145564,3382818.353145564
34,3545370.566234467,3787972.3626314504,3413609.8485906487,3545370.566234467,3459448.3567438885
35,3442605.6784434267,4078259.3944783825,3467557.615549587,3442605.678443426,3475201.2720865984
36,3755914.579499637,3829258.1043831035,3658622.88967041,3755914.579499636,3755914.579499637
37,3523647.9671536395,4107919.7208258864,3553132.4698768454,3523647.9671536395,3523647.9671536395
38,3430056.4006672883,4069692.3203250407,3486509.1644582036,3430056.4006672883,3430056.4006672883
39,3304272.178428457,3959001.938507069,3278576.2442447664,3304272.178428458,3252232.8311085114
40,3695533.2118212217,3918082.7679048623,3687030.401006518,3695533.2118212217,3695533.2118212217
41,3555166.911003673,3879601.7015524744,3510735.7218486816,3555166.911003673,3555166.911003673
42,3704619.745105589,4070052.6685382114,3557394.413983988,3704619.745105589,3704619.745105589
43,3440885.6388068935,3873192.6588067315,3475596.9489132506,3440885.6388068935,3440885.6388068935
44,3570584.2658355455,3736325.2446590154,3547899.134332142,3570584.2658355455,3551698.302893017
45,3466646.091977038,4188770.7667291155,3487513.9471900305,3466646.0919770384,3462648.508636094
46,3571239.0895405784,3897438.4889526167,3499619.5499780737,3571239.0895405784,3571239.0895405784
47,3342683.1239136755,3545782.5581193897,3151954.7116872245,3342683.1239136755,3342683.1239136755
48,3517544.6459909887,3977136.3673891025,3468247.3583958703,3517544.6459909896,3517544.6459909887
49,3537495.9832425434,3672922.0573497354,3417513.871393497,3537495.9832425434,3537495.9832425434
50,3556286.086857032,4044068.5948855816,3462295.611203878,3556286.0868570325,3556286.086857032
51,3437790.4903499167,3672500.7275591046,3310435.581049262,3437790.4903499167,3437790.4903499167
52,3446869.092721694,3780688.0219412902,3366579.831860484,3446869.092721693,3446869.092721694
53,3595088.565907775,4061013.4915195275,3332763.80159219,3595088.565907775,3571815.840941088
54,3443185.7555581667,4012957.7753098183,3303970.185236374,3443185.7555581667,3396462.546902453
55,3416102.933484173,3667466.217335974,3297516.150611928,3416102.933484173,3416102.933484173
56,3501649.023034895,3787224.6579217818,3434746.019610928,3501649.023034895,3501649.023034895
57,3345818.091434096,3786040.1929387916,3286483.2941548754,3345818.0914340965,3345818.091434096
58,3399596.4857223635,3671396.468362725,3328961.4256154345,3399596.485722364,3399596.4857223635
59,3386819.199675328,3945624.9327446595,3505569.8402057155,3386819.1996753276,3386819.199675328
60,3404215.8847212037,3913007.733837689,3404838.284566429,3404215.884721204,3404215.8847212037
61,3473904.019951953,3794765.444651659,3331279.0706986724,3473904.019951954,3471396.488311921
62,3280764.1548471116,4031452.2792720804,3284673.2751114327,3280764.154847111,3280764.1548471116
63,3541165.178237427,4119482.615919814,3479635.235983982,3541165.178237428,3541165.178237427
64,3580917.4881774643,3947627.5661610467,3527180.699562234,3580917.4881774643,3580917.4881774643
65,3368437.1680530864,3941380.0319660204,3251804.768655107,3368437.1680530864,3368437.1680530864
66,3364862.4134090454,3659023.6891913335,3337064.1652501775,3364862.4134090454,3364862.4134090454
67,3571532.102731685,3694948.1418616176,3493940.382699408,3571532.102731685,3571532.102731685
68,3749563.413039788,4478661.620407776,3788850.7491966053,3749563.4130397877,3725770.8384972285
69,3438077.998248065,3757313.202586382,3407423.993438668,3438077.9982480663,3429822.571152231
70,3482302.1842588927,4002395.0926625184,3511633.7167838244,3482302.1842588927,3549693.6488901884
71,3382681.758111707,3832951.035562808,3438528.103502249,3382681.758111708,3382681.758111707
72,3389890.499859764,3652205.318225838,3301124.7006016453,3389890.4998597633,3389890.499859764
73,3278111.328568479,3805923.552164832,3324288.5184505447,3278111.328568479,3278111.328568479
74,3399252.268357904,3853910.279353182,3360696.428226271,3399252.268357906,3357477.0362573904
75,3418823.9032030143,4027002.4108053474,3423857.6725456635,3418823.903203014,3513104.6864233776
76,3456752.700232517,3830637.8975520404,3338914.733662467,3456752.700232517,3416122.078509103
77,3558174.0946490914,3914508.22659705,3381166.3974007857,3558174.0946490914,3540138.2243432747
78,3347628.4624226564,3686293.94496796,3321438.59861024,3347628.462422657,3347628.4624226564
79,3558400.5493483017,3758635.126605363,3407941.402757028,3558400.5493483027,3558400.5493483017
80,3437338.200711953,4147639.914271873,3314048.981933969,3437338.200711952,3437338.200711953
81,3487565.0153029882,3949587.380430867,3355757.9070031336,3487565.0153029882,3487565.0153029882
82,3593131.7978089014,4213205.444347738,3472824.914619087,3593131.7978089014,3593131.7978089014
83,3379775.904097715,3794101.3310503666,3330426.0630625677,3379775.904097715,3276441.6601349567
84,3561967.729900298,3790339.389165833,3430160.3919614097,3561967.729900297,3561967.729900298
85,3331778.230059375,4065761.4275850966,3282418.2897598054,3331778.230059375,3388784.6834812975
86,3433225.795498639,3647789.6714497316,3346396.349478647,3433225.795498639,3433225.795498639
87,3557578.301031765,3647351.9518197095,3337045.975091505,3557578.301031765,3557578.301031765
88,3456507.6240605325,3896369.2124553733,3292216.29006123,3456507.6240605325,3456507.6240605325
89,3388352.4615835403,3517868.124890427,3322920.531007836,3388352.4615835394,3388352.4615835403
90,3625000.598287811,3806426.7831253964,3533699.407562248,3625000.598287811,3625000.598287811
91,3807290.4054439957,4121852.053919089,3612149.59509142,3807290.4054439957,3645291.760068471
92,3329215.387241614,3778447.365599116,3319942.7413371513,3329215.387241614,3329215.387241614
93,3478206.7105379095,3751856.4801485306,3400661.428815766,3478206.7105379086,3478206.7105379095
94,3695207.1622174764,4049055.703301976,3629104.6445868756,3695207.162217477,3695207.1622174764
95,3448489.74574588,3914072.4011055036,3433207.5374889933,3448489.7457458815,3448489.74574588
96,3590316.162641207,3908568.6459771246,3392413.249820567,3590316.1626412077,3590316.162641207
97,3502229.9787054034,4247284.928595477,3397640.3923403397,3502229.978705403,3429771.0658727894
98,3256633.1005108114,3717880.0391461966,3209574.638767161,3256633.100510812,3256633.1005108114
99,3387746.9026679834,3788845.557731057,3314036.328282991,3387746.9026679834,3387746.9026679834
100,3513774.1400126843,3825848.469890807,3488306.5423194,3513774.1400126847,3468064.389545796
