round,desired_increase,majoritarian_moving_phantoms_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost,desired_increase_percentage
5.5,0.009999999999999998,0.09693638413658043,0.09693638413658043,0.09693638413658043,0.09693638413658043,0.09693638413658043,0.01
5.5,1.1200000000000003,1.5688128807327828,3.8012651589085684,1.351104521339637,1.0028592256916602,1.0028592256916602,1.12
5.5,2.23,2.9520015284932972,11.621677592659942,2.7843130752522356,2.0134421792678565,12.920461105605517,2.23
5.5,3.34,5.085885592096824,26.50614365217527,4.351591968891089,3.307868108762109,18.799521703702656,3.34
5.5,4.450000000000001,7.433420700320161,30.0,6.37579868806322,4.784805843619944,27.228183934926154,4.45
5.5,5.5600000000000005,8.504004469236621,30.0,8.667813786492886,6.771074346786828,30.0,5.5600000000000005
5.5,6.67,13.451066659017295,30.0,11.465148810169023,7.908962913897881,30.0,6.67
5.5,7.779999999999999,14.964350867229806,30.0,14.269434931895693,10.87713405753408,30.0,7.78
5.5,8.89,18.7119684864336,30.0,15.911319830229166,10.567003374361585,30.0,8.89
5.5,10.0,18.182162460352313,30.0,20.802509519821747,12.272631408106523,27.182799593359352,10.0
