round,majoritarian_moving_phantoms_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
1,11845029.864878848,13745537.413011165,11823834.285991317,11973142.727315791,11973142.727315791
2,11726333.092139058,13312704.901936244,11745955.622848053,11843223.988086648,11843223.988086648
3,11770648.381470725,13387374.729072692,11722562.4615661,11889280.448348727,11889280.448348723
4,11564861.411513261,13256357.708262974,11510910.786723137,11629747.72786564,11629747.72786564
5,11712476.863110168,13391311.174086217,11720002.61654344,11984112.67916552,11984112.67916552
6,11649542.683798641,13682946.202447928,11627740.28571699,11911756.848749245,11911756.848749245
7,11555575.217138952,13330348.920860248,11593027.221811496,11814762.494925518,11814762.494925518
8,11657115.392375229,13557348.85983736,11695027.676785477,11769377.267899342,11769377.267899346
9,11603988.828385167,13751469.580529999,11612142.890435953,11815242.974969324,11815242.974969324
10,11780892.7095477,13479889.072812837,11797792.538606776,11939298.335850816,11939298.335850816
11,11509699.33499741,13560906.390886743,11529844.336436428,11943748.562734306,11943748.562734306
12,11787373.572749585,13620782.002487507,11800647.832437463,11935919.196999025,11935919.196999025
13,11527133.839770578,13254997.350999692,11501700.686250396,11750385.859768583,11750385.859768583
14,11758738.178221058,13464301.211818423,11858405.894231448,11952901.803873822,11952901.803873822
15,11474809.758683544,13075272.542793117,11499529.18618867,11719111.07425156,11719111.07425156
16,11530893.973884277,13230324.372503653,11590080.617338186,11776658.446290221,11776658.446290221
17,11701041.650500642,13853289.093677461,11718174.568414291,11837270.458370335,11837270.458370335
18,11779942.804403566,13423617.996372638,11804970.508413555,11873949.199562488,11873949.199562488
19,11818304.67346537,13404754.2721588,11846392.845938046,12008094.724597022,12008094.724597022
20,11794880.50338601,13515173.552997991,11830837.562902875,11991389.787994467,11991389.787994467
21,11591549.328456445,13207618.087892015,11595727.311166327,11837676.289755205,11837676.289755207
22,11484622.890248284,13369383.89853923,11518011.986787248,11751848.973937863,11751848.973937863
23,11598596.58071895,13090722.158067081,11719656.99178493,11994376.045685641,11994376.045685638
24,11846155.86723593,13399616.812108897,11841637.920194514,12030954.78150243,12030954.78150243
25,11573552.974896662,13315712.551925896,11622632.217848504,11796523.869812572,11796523.869812574
26,11883196.420843665,13327888.933934756,11825686.27839585,12009376.718996271,12009376.718996271
27,11705804.638350941,13417414.200528925,11715366.51216242,11869926.689134862,11869926.689134859
28,12034095.870135501,13877237.95006023,12058549.307176888,12059025.955174051,12059025.955174047
29,11722733.719445521,13286090.985411324,11761013.357615884,11986087.795578867,11986087.795578867
30,11620718.596255839,13301849.894773258,11629111.108885068,11725441.33158752,11725441.33158752
31,11828042.774660546,13571740.694538672,11776515.985321112,11964106.102108832,11964106.102108832
32,11674084.634652402,13200454.840810202,11689194.740442201,11876535.06978529,11876535.06978529
33,11590279.671944074,13211778.054471016,11642404.862782717,11863479.34485473,11863479.34485473
34,11581351.778888516,13118577.859314267,11643215.035369683,11829771.838232799,11829771.838232799
35,11852959.076153597,13922611.986861406,11832600.944238741,12095296.73602968,12095296.73602968
36,11636358.687617578,13619385.260530293,11667878.33485455,11947430.483002061,11947430.483002061
37,11588394.83990208,13109593.55774256,11650610.772863457,11753137.26004517,11753137.26004517
38,11680424.437596744,13237304.899861315,11683439.001475729,11928218.24292662,11928218.24292662
39,11568646.545409046,13176149.993146766,11634516.653111834,11914144.766928542,11914144.766928542
40,11700053.372331431,13249137.511970421,11846720.520491343,12138734.887545139,12138734.887545139
41,11521759.526196279,13251114.863396304,11562102.577980123,11833623.240551956,11833623.240551956
42,11741420.202737832,13272430.854516946,11778536.396592401,11858114.197286438,11858114.197286438
43,11494601.515504133,13322848.017464098,11547823.86256228,11704246.680262808,11704246.680262808
44,11758466.812566534,13332939.192131521,11681532.03632635,11937005.135297358,11937005.135297354
45,11858577.039485298,13590217.110277575,11851584.974525608,11922435.299501244,11922435.299501242
46,11733767.499556726,13607405.103561595,11651910.077751094,11929270.778873106,11929270.778873106
47,11883152.599827772,13512558.556945072,11958726.818094205,12029171.018721778,12029171.018721778
48,11787513.201758781,13796527.214859156,11803452.586613193,11809344.645970456,11809344.645970456
49,11518240.679308716,13187231.968448848,11602852.371848924,11724554.625902737,11724554.625902738
50,11886321.029293079,13322897.292124154,11910914.545458833,12294530.7510475,12294530.7510475
51,11833405.200835448,13269956.855273632,11806323.329956956,11921156.363590252,11921156.363590252
52,11580483.021750849,13316698.892998878,11579030.872149922,11906933.556575697,11906933.556575697
53,11645438.276390256,13233972.229989236,11704532.522419062,12018574.432285532,12018574.432285532
54,11712766.806106806,13429130.349323617,11681455.08870366,11779145.729348727,11779145.729348727
55,11922669.884654658,13793600.127535675,11964569.551103843,12108831.376904499,12108831.376904495
56,11907939.911431786,13345867.539333008,11934176.409004766,12105380.643490639,12105380.643490639
57,11542612.674343958,13329754.66419779,11545043.860745506,11692836.910181735,11692836.910181731
58,11556057.32277853,13387556.373558111,11564482.349867078,11818746.538875619,11818746.538875619
59,11707642.283983279,13343162.159820003,11829733.956434023,12021377.29716024,12021377.29716024
60,11601444.977773122,13326010.078896314,11584772.502249066,11735199.770774446,11735199.770774446
61,11703152.44904976,13352358.355107194,11678495.528815705,11837783.394336667,11837783.394336667
62,11619244.686798062,13355556.985064918,11701801.70891238,11761271.459758343,11761271.459758343
63,11710383.87858041,13425292.474502964,11684339.29452935,12035433.300824858,12035433.300824858
64,11644215.240040269,13686367.888648305,11648472.816805465,11793454.302077923,11793454.302077923
65,11712126.891304888,13879100.294718787,11793198.279155597,12025459.373383269,12025459.373383269
66,11774554.073448569,13890427.346623138,11854345.42211588,11971036.123505086,11971036.123505084
67,11856113.034486435,13563915.305212272,11894135.758766118,12111396.234151775,12111396.234151775
68,11558610.459467333,13180409.598567024,11571097.799950104,11743776.31812879,11743776.31812879
69,11718087.137509443,13518352.451208431,11736445.075965635,12005162.551242277,12005162.551242277
70,11825310.40248223,13256265.020999117,11752233.735521127,11843315.487926383,11843315.487926383
71,11955707.724711074,13762007.503488239,11963235.344360808,11932452.034507265,11932452.034507263
72,11672215.69518098,13396103.749462146,11727276.97047563,11812421.925692396,11812421.925692396
73,11688962.755130183,13860796.874448046,11701182.27135409,11914463.684226364,11914463.684226364
74,11720081.046301445,13819071.030634657,11727242.865178505,11824604.7673917,11824604.7673917
75,11716753.717956478,13219039.19962119,11716422.012977485,11922426.770791892,11922426.770791892
76,11748339.850440519,13549418.591872763,11752568.867424957,11823110.470540697,11823110.470540695
77,11530166.261711905,13392700.117876781,11635903.908674143,11828195.695049353,11828195.695049353
78,11411351.99920692,13220312.996066477,11428931.929503655,11672514.549446374,11672514.549446374
79,11879465.161479125,13491898.377953226,11843829.258677416,12250227.107704934,12250227.107704934
80,11593141.516999466,13479449.994132617,11497845.912421457,11840328.391075067,11840328.391075067
81,11653188.4405661,13219434.209416986,11683538.074737132,11967002.98541373,11967002.985413728
82,11934240.60753202,13515200.542356681,11975301.331771165,12042753.719847366,12042753.719847366
83,11958431.291492773,13501445.867817905,11910771.273012735,12123597.85793808,12123597.857938081
84,11819359.933534274,13529055.986201817,11773802.907302875,11967663.0820648,11967663.0820648
85,11765789.702720478,13440670.743239839,11790442.401236327,12044285.365097098,12044285.365097098
86,11811208.7549347,13346303.926775984,11847859.513883691,12020005.453332689,12020005.453332689
87,12079215.314680088,13591609.33252744,12059979.083885258,12246068.574468741,12246068.574468741
88,12057800.282602191,13815218.36072433,12060235.59000387,12079574.953537557,12079574.953537557
89,11951460.77322426,13499716.764052952,11996433.67918398,12034356.433992129,12034356.433992129
90,11895273.256384466,13500606.185546689,11852832.924463078,11964707.532925535,11964707.532925535
91,11779044.817700868,13374428.444696318,11777109.561196014,11938129.94499047,11938129.94499047
92,12003559.912843658,13424837.887674367,11928681.321921766,12212261.685935117,12212261.685935117
93,11687579.154018108,13632788.094528247,11688395.868143508,11959201.303399611,11959201.303399611
94,11953924.688669048,13528922.405431107,11945938.930046443,12286584.474985639,12286584.474985642
95,11550924.748617236,13179061.72687013,11597176.26754589,11842690.29623213,11842690.29623213
96,11596575.261249904,13261362.223598018,11604411.296638556,11732429.343121596,11732429.343121596
97,11625178.24689227,13492900.732748209,11652461.25333287,12020054.901500281,12020054.901500281
98,11550882.052386198,13557858.260571998,11589585.327737145,11804127.227481192,11804127.227481194
99,11849750.872070115,13795155.651900353,11881010.32801003,11958871.630120175,11958871.630120175
100,11553086.547576418,13316376.838298293,11583224.499435633,11793694.988268577,11793694.988268577
