project_name,phantoms_allocation
Aave,115297.99454133182
Alchemix,2669.706396981451
Biconomy,10672.65686329206
0x Protocol,289821.31827570737
CreateMyToken,0.270283884119696
Poster,1.4021253145580463
Loot2,16380.132799854875
Wombat Exchange,3726.6386548214364
Ethereum Attestation Service (EAS),38843.77854382216
Wormhole Foundation,24346.75388957304
$ENJOY,37502.251879188916
/send,1254.8008199782682
3DNS,5669.63140446023
Account Abstraction - ERC-4337,222942.78494097956
Across Protocol,61882.27857171704
Aerodrome Finance,182879.71913982168
Alien Base,29126.310436174277
Ambire,121.64960373665774
Aragon,1670.8380387175737
Arcadia Finance,5254.76422364308
Archly,565.7921436717207
Astaria,3806.307025194983
Aura Finance,7827.868237595003
Avantis,32705.849244923396
BLOCKS,33646.12671548175
BMX by Morphex,19899.120509957822
BSX,12420.755513313869
Balancer,43132.17379805353
Base Runners,2022.0405374270788
Base on Rarible,3148.7538577676264
BaseDoge,2195.9769133865307
BaseSwap,50873.41706896688
Based Bodega,127.32474406732139
Based Onchain Cubes,268.1362416289109
Based Onchain Dinos,3487.029049205398
Based Onchain Punks,1968.159071489492
Basepaint,61536.01302542132
Basic Dog Meme,4309.782448795877
Beam,291.7076160494823
Beefy,27008.30983459252
Blob Farm,6644.298651795123
Bodhi,3939.237008536527
Boost,117176.32541866855
Bored Town,23768.28114959918
Builder Protocol,28164.91286186411
Building Blocks,1876.8515735903811
Catalog Radio,22052.72608287332
Circle.tech,7639.914919850456
Clipper DEX,4809.825612790078
Coinvise,34230.37976179213
Compound Finance,53895.904183023566
Coordinape,15371.600756520747
Copin.io,6066.274070257968
Crowdmuse,4636.377964108439
Crypto Composite,3389.9867543926484
CyberConnect Protocol,44511.06677635117
Cygnus Finance,1453.478891720776
DackieNFT,5588.570253461836
DackieSwap,15732.193077737555
Daimo,3001.0515922388854
DappLearning ZK redpacket,410.80437137500866
DappRadar,484.25265405851405
Decent.xyz,52838.9440379376
DefiLlama,7819.980338928652
Dmail Network,126333.11718977694
Drakula.app,3565.4329230307685
Egg Wars: A Game on Base,1188.0577299932625
Equalizer,14186.794230950996
EthXY,14032.501669413314
Ethos Reserve,3148.662325365053
Exactly Protocol,7993.501270540865
Extra Finance,50996.19104057946
Fractal Visions,549.7703646229688
Gamma,24503.66890458183
Gangster Arena,3070.3885165687507
Get Mint,8941.502171928167
Gitcoin,30657.682837067565
Gitcoin Passport,57758.343073640914
Giveth,6919.017501808969
Glo Dollar,1098.3901569772088
Gloom,25606.094538954014
Guac (Farcaster),15459.323441732226
Guild.xyz,21079.5735591298
HOMES,4473.386544751163
Ham,24398.352962640587
Harvest Finance,8353.15977395127
Hats Protocol,7337.045436077998
Hedgey,23038.897904017827
Highlight,67692.43595140609
Holograph Foundation,93897.79076761327
Hyperlane,36084.31322643978
Hypersub,20465.61239047436
INT,617.3869991256983
Idle,4174.688218248954
Infusion,4714.513121211565
IntentX,1426.5679652599536
Ionic Protocol,118098.84504645829
Ironclad Finance,28005.279320721707
Keng Lernitas,10203.824340704094
Kim Exchange,100243.44287864071
Kiwi News,5251.290890153312
Kwenta,150610.4534981376
L2Pass,23605.15440703413
LI.FI,421732.7501982565
Layer3,726651.2925206361
LayerZero,144909.49279488766
Let's Get HAI,16359.786250056848
Lido Finance,14450.952795047526
Linkdrop,13804.356049616847
Liquidify,3272.548061819666
LlamaPay,786.5943137448098
LogX,65468.101917294865
MYSTCL ($MYST),5607.270340669501
Manifold,69725.25734873916
Maverick Protocol,68229.00213665291
Metronome,9435.055626611767
MiniBridge,18971.639095124774
Mintify,3015.6896616982954
Mochimons,2989.2814457347254
ModeChat.xyz | Onchain Social on Mode,13362.456461276031
Moonwell,66729.22762029234
Morkie,8375.810781202372
Multicall3,54336.17871746787
Multicaller,44671.091658034995
NFT HOOK,23535.590065971526
NFTs2Me,78727.91207967498
NiftyKit,9385.745218479018
Nogem,6199.059510892548
Noggles ($NOGS),7716.425942963085
ODOS,293835.9048874357
ORA Onchain AI Oracle on Optimism,2588.4992019748784
Oku Trade,2066.5146056244057
Omni X,18592.39462738669
OmniHub,6083.136453415551
Omnisea,12934.885287603982
Onchain Blobs - Randomly generated onchain blobs minted via a Farcaster frame,6962.181051217653
OpenOcean,40898.44775254915
Opti.Domains,10097.839585685826
OptiChads NFT Community,5147.147997755552
Orderly Network,36853.438155070915
Overnight Finance,33021.04712334935
Owlto Finance,46443.61608511399
PAWS Wildlife Room Onchain Vote in a Frame,4365.552552470447
PRINT3R,7786.699964977973
ParaSwap,45864.06442958433
Paragraph,61223.93699759214
Party.app + Party Protocol,121059.30115516877
Perp V2 - Curie,151164.46368953332
Pheasant Network,6923.563335840292
Phi,31593.058115262174
Pika Protocol,12057.091560648789
PiraNFT,2285.4477562224833
Pixotchi,4743.740391433254
Polynomial Trade,11761.823445453314
PoolTogether,15653.842590070992
Portals,3667.2349616237407
Preon Finance,1314.2961333766696
Pyth Network,1205.3375965474663
QiDao - Mai.Finance,4947.396760734206
RMRK,5003.954322696942
Rainbow (Rainbow Router),103542.20943383944
Receipts,4746.188213705847
Reserve Protocol,25602.63301385436
Revert,9528.951744001048
Router Protocol,19727.67443702685
RubyScore,57052.66600378777
Sablier,489.91216302202713
Scry Protocol,4369.024294608418
Seamless Protocol,109470.08220991527
Sequence,922.1041220028853
Slice,15815.946959697769
Slugs,5903.17148617113
Smol,37098.91508123788
Sonne Finance,40757.93322379233
Sound.xyz,246060.66082430878
Speedtracer,18675.45425698788
Splits,22516.460620082493
Stargate Finance,343959.66937628784
Streameth,6428.36501152675
Sturdy,23277.506663363853
Summer.fi,2622.3845950250366
Superfluid,36478.43332987898
Supswap,47133.77361335188
Sushiswap,147695.4364301351
SwapBased,23568.874479556587
SwapMode,34325.06643557932
Synapse Protocol,114964.91091583516
Synonym Finance,1990.1481686186673
Synthetix,245529.24306893727
TITLES,12255.072216236837
TLX,7544.598104777705
Talent Protocol,90.55179827729505
Tarot,73962.46230541788
Thales Protocol,46066.61770300074
The Open X Project,4679.256496313141
Tiny Based Frogs,476.80501208216344
Tokepad,2116.95412807037
Trash NFTs,3288.7680293259427
UNCX Network,2685.0755897745753
Umbra,3920.92656356221
Union,3735.1209391947204
Unitap,2411.1718904776985
Unlonely,7117.351793163005
Velocimeter/Graphene,6938.110257912688
Velodrome Finance,100406.99919915925
Vesper Finance,6126.7671993294725
Virtuals Protocol,7794.069783126071
WOOFi,96768.07195579518
Whale,4362.641623276349
Whimsical Euphoria: A White Inflatable Sheep,3920.240566845808
XSwap,32680.291626368427
Your Brians,4319.621273036743
ZKP2P,2229.9249287528087
Zerion,69498.96738226312
Zerius,9414.90612818129
Zeronym,55147.42734960806
Zora,1394006.3094901
builder.fi,2068.399196931557
dHEDGE,9784.23609561151
deBridge,101230.24227388059
doginme memecoin,10582.857044814562
far.quest - Farcaster Super App,81808.72679375381
fxhash,63395.77297152822
iZUMi Finance,35170.47427181665
pods.media,44991.49461786956
sudoswap,15924.632416284217
tanX - The World's Leading Institutional DEX,10100.488515185785
zkBob smart contract privacy wallet,3489.2661402304993
🏰 BuidlGuidl,17181.814171727525
👑 King of the Degens 🎩 - Farcaster Frame Game,6868.267911334253
